time 		gpv001pnt10113ppntm		evf507ety101mpzoyout		chtcon(1)		chavg(1)		chlhsumpa		rcptavgn	time 		rcpppzr		rcp054rcp007mnzoyout		rcv501std0102fvol		fwfrcp001gv		rcppmssga		msfsg(1)	
00:01:06:250		6.834230E+06		100.028		35.4203		0.00659108		0.000618367		309.862	00:01:06:250		1.547810E+07		0.167511		2.85937		529.566		6.967800E+06		526.609	
00:01:06:250		6.834230E+06		100.028		35.4203		0.00659108		0.000618367		309.862	00:01:06:250		1.547810E+07		0.167511		2.85937		529.566		6.967800E+06		526.609	
00:01:06:150		6.834230E+06		100.028		35.4232		0.00659108		0.000616016		309.862	00:01:06:150		1.547810E+07		0.167513		2.85932		529.568		6.967790E+06		526.609	
00:01:06:049		6.834220E+06		100.028		35.4232		0.00659108		0.000616016		309.862	00:01:06:049		1.547810E+07		0.167516		2.85923		529.568		6.967790E+06		526.609	
00:01:06:000		6.834220E+06		100.028		35.4232		0.00659108		0.000616016		309.862	00:01:06:000		1.547810E+07		0.167518		2.85914		529.568		6.967790E+06		526.609	
00:01:05:849		6.834210E+06		100.028		35.426		0.00659108		0.000613664		309.862	00:01:05:849		1.547810E+07		0.167522		2.85909		529.568		6.967780E+06		526.609	
00:01:05:650		6.834200E+06		100.028		35.4289		0.00659108		0.000611313		309.862	00:01:05:650		1.547810E+07		0.167528		2.859		529.569		6.967760E+06		526.609	
00:01:05:650		6.834200E+06		100.028		35.4289		0.00659108		0.000611313		309.862	00:01:05:650		1.547810E+07		0.167528		2.859		529.569		6.967760E+06		526.609	
00:01:05:549		6.834190E+06		100.028		35.4289		0.00659108		0.000611313		309.862	00:01:05:549		1.547810E+07		0.167531		2.85886		529.569		6.967760E+06		526.609	
00:01:05:450		6.834180E+06		100.028		35.4318		0.00659108		0.000608962		309.862	00:01:05:450		1.547810E+07		0.167533		2.85881		529.569		6.967750E+06		526.609	
00:01:05:250		6.834170E+06		100.029		35.4318		0.00659108		0.000608962		309.862	00:01:05:250		1.547810E+07		0.167539		2.85868		529.571		6.967740E+06		526.609	
00:01:05:250		6.834170E+06		100.029		35.4318		0.00659108		0.000608962		309.862	00:01:05:250		1.547810E+07		0.167539		2.85868		529.571		6.967740E+06		526.609	
00:01:05:049		6.834160E+06		100.029		35.4347		0.00659108		0.000606611		309.862	00:01:05:049		1.547810E+07		0.167544		2.85854		529.573		6.967730E+06		526.609	
00:01:05:049		6.834160E+06		100.029		35.4347		0.00659108		0.000606611		309.862	00:01:05:049		1.547810E+07		0.167544		2.85854		529.573		6.967730E+06		526.609	
00:01:04:950		6.834150E+06		100.029		35.4375		0.00659108		0.00060426		309.862	00:01:04:950		1.547810E+07		0.167547		2.8584		529.573		6.967720E+06		526.608	
00:01:04:849		6.834150E+06		100.029		35.4375		0.00659108		0.00060426		309.862	00:01:04:849		1.547810E+07		0.167549		2.85835		529.573		6.967720E+06		526.608	
00:01:04:750		6.834140E+06		100.029		35.4375		0.00659108		0.00060426		309.862	00:01:04:750		1.547810E+07		0.167552		2.85831		529.573		6.967710E+06		526.608	
00:01:04:599		6.834130E+06		100.029		35.4404		0.00659108		0.000601908		309.862	00:01:04:599		1.547810E+07		0.167556		2.85822		529.573		6.967700E+06		526.601	
00:01:04:549		6.834130E+06		100.029		35.4404		0.00659108		0.000601908		309.862	00:01:04:549		1.547810E+07		0.167558		2.85817		529.573		6.967700E+06		526.609	
00:01:04:400		6.834120E+06		100.029		35.4433		0.00659108		0.000599557		309.861	00:01:04:400		1.547800E+07		0.167562		2.85803		529.575		6.967690E+06		526.608	
00:01:04:299		6.834110E+06		100.029		35.4433		0.00659108		0.000599557		309.861	00:01:04:299		1.547800E+07		0.167564		2.85794		529.575		6.967680E+06		526.608	
00:01:04:200		6.834110E+06		100.029		35.4462		0.00659108		0.000597206		309.861	00:01:04:200		1.547800E+07		0.167567		2.85789		529.575		6.967680E+06		526.607	
00:01:04:099		6.834100E+06		100.029		35.4462		0.00659108		0.000597206		309.861	00:01:04:099		1.547800E+07		0.16757		2.85785		529.575		6.967670E+06		526.608	
00:01:04:049		6.834100E+06		100.029		35.4462		0.00659108		0.000597206		309.861	00:01:04:049		1.547800E+07		0.167571		2.85785		529.575		6.967670E+06		526.606	
00:01:03:950		6.834090E+06		100.029		35.4491		0.00659108		0.000594855		309.861	00:01:03:950		1.547800E+07		0.167574		2.85775		529.577		6.967660E+06		526.6	
00:01:03:850		6.834090E+06		100.029		35.4491		0.00659108		0.000594855		309.861	00:01:03:850		1.547800E+07		0.167577		2.85766		529.577		6.967650E+06		526.612	
00:01:03:750		6.834080E+06		100.029		35.4491		0.00659108		0.000594855		309.861	00:01:03:750		1.547800E+07		0.16758		2.85753		529.577		6.967650E+06		526.61	
00:01:03:649		6.834070E+06		100.029		35.452		0.00659117		0.000592504		309.861	00:01:03:649		1.547800E+07		0.167583		2.85752		529.579		6.967640E+06		526.61	
00:01:03:549		6.834060E+06		100.029		35.452		0.00659117		0.000592504		309.861	00:01:03:549		1.547800E+07		0.167585		2.85743		529.579		6.967630E+06		526.609	
00:01:03:450		6.834060E+06		100.029		35.4549		0.00603729		0.000590153		309.861	00:01:03:450		1.547800E+07		0.167588		2.85734		529.579		6.967630E+06		526.608	
00:01:03:350		6.834050E+06		100.029		35.4549		0.00603729		0.000590153		309.861	00:01:03:350		1.547800E+07		0.167591		2.85729		529.579		6.967620E+06		526.589	
00:01:03:200		6.834040E+06		100.03		35.4578		0.00548341		0.000587801		309.861	00:01:03:200		1.547800E+07		0.167595		2.85716		529.579		6.967610E+06		526.604	
00:01:03:100		6.834040E+06		100.03		35.4578		0.00548341		0.000587801		309.861	00:01:03:100		1.547800E+07		0.167597		2.85715		529.579		6.967610E+06		526.612	
00:01:03:000		6.834030E+06		100.03		35.4578		0.00548341		0.000587801		309.861	00:01:03:000		1.547800E+07		0.167601		2.85706		529.58		6.967600E+06		526.611	
00:01:02:899		6.834020E+06		100.03		35.4607		0.00548341		0.00058545		309.861	00:01:02:899		1.547800E+07		0.167603		2.85693		529.58		6.967590E+06		526.606	
00:01:02:799		6.834020E+06		100.03		35.4607		0.00548341		0.00058545		309.861	00:01:02:799		1.547800E+07		0.167606		2.85688		529.58		6.967590E+06		526.613	
00:01:02:700		6.834010E+06		100.03		35.4637		0.00548341		0.000583099		309.861	00:01:02:700		1.547800E+07		0.167609		2.85683		529.582		6.967580E+06		526.613	
00:01:02:600		6.834000E+06		100.03		35.4637		0.00548341		0.000583099		309.861	00:01:02:600		1.547800E+07		0.167612		2.85678		529.582		6.967570E+06		526.613	
